sample,genotype,replicate,pool
AJ34_2_2_SI_MKV1_WG_A1,wt_deer_mouse_2,1,1
AJ34_2_2_SI_MKV1_WG_A2,wt_deer_mouse_2,1,2
AJ34_3_2_SI_MKV1_WG_A1,stat2_deer_mouse_1,1,1
AJ34_3_2_SI_MKV1_WG_A2,stat2_deer_mouse_1,1,2
AJ34_6_2_SI_MKV1_WG_A1,pet_a,1,1
AJ34_6_2_SI_MKV1_WG_A2,pet_a,1,2
AJ34_6_11_d0_FECES_MKV1_WG_A1,pet_a,1,1
AJ34_6_11_d0_FECES_MKV1_WG_A2,pet_a,1,2
AJ34_6_11_d1_FECES_MKV1_WG_A1,pet_a,1,1
AJ34_6_11_d1_FECES_MKV1_WG_A2,pet_a,1,2
AJ34_6_11_d2_FECES_MKV1_WG_A1,pet_a,1,1
AJ34_6_11_d2_FECES_MKV1_WG_A2,pet_a,1,2
AJ34_6_11_d3_FECES_MKV1_WG_A1,pet_a,1,1
AJ34_6_11_d3_FECES_MKV1_WG_A2,pet_a,1,2
AJ34_6_11_d4_FECES_MKV1_WG_A1,pet_a,1,1
AJ34_6_11_d4_FECES_MKV1_WG_A2,pet_a,1,2
AJ34_2_2_SI_MKV1_WG_B1,wt_deer_mouse_2,2,1
AJ34_2_2_SI_MKV1_WG_B2,wt_deer_mouse_2,2,2
AJ34_3_2_SI_MKV1_WG_B1,stat2_deer_mouse_1,2,1
AJ34_3_2_SI_MKV1_WG_B2,stat2_deer_mouse_1,2,2
AJ34_6_2_SI_MKV1_WG_B1,pet_a,2,1
AJ34_6_2_SI_MKV1_WG_B2,pet_a,2,2
AJ34_6_11_d0_FECES_MKV1_WG_B1,pet_a,2,1
AJ34_6_11_d0_FECES_MKV1_WG_B2,pet_a,2,2
AJ34_6_11_d1_FECES_MKV1_WG_B1,pet_a,2,1
AJ34_6_11_d1_FECES_MKV1_WG_B2,pet_a,2,2
AJ34_6_11_d2_FECES_MKV1_WG_B1,pet_a,2,1
AJ34_6_11_d2_FECES_MKV1_WG_B2,pet_a,2,2
AJ34_6_11_d3_FECES_MKV1_WG_B1,pet_a,2,1
AJ34_6_11_d3_FECES_MKV1_WG_B2,pet_a,2,2
AJ34_6_11_d4_FECES_MKV1_WG_B1,pet_a,2,1
AJ34_6_11_d4_FECES_MKV1_WG_B2,pet_a,2,2
