file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	2A_region	0.453898690950484	3.19554794551595	0.345238095238095	2.76403520866912	248.5	84.5	0.00182655408833193	0.0378171354498928	0.00138928810961004	0.0327104758422381	0.454319178836052	0.452097505668934	0.454636560717068
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	2B_region	0.498494278067158	3.27384341072358	0.472186067568332	3.78014603676227	364.657261763651	130.342738236349	0.00136702139333853	0.0251171906852775	0.00129487635947416	0.0290015852659761	0.468779442805981	*	0.458888344131065
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	2C_region	0	5.32442319806821	0	21.206531888342	757.209622656613	247.790377343386	0	0.0214876108392606	0	0.0855825481025608	0.197198841902561	*	0.443697394280763
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	3A_region	0	0.100887693990119	0	10.9467177960543	213.333333333333	71.6666666666666	0	0.0014077352649784	0	0.152744899479827	0.00917149285243575	*	0.100886421376793
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	3B_region	0	0	0	1	61.8333333333333	19.1666666666667	0	0	0	0.0521739130434783	0	*	*
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	3C_region	0	0	0	4	427.333333333334	142.666666666667	0	0	0	0.0280373831775701	0	*	*
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	3D_region	0	0.429382557408171	0	7.31208593208593	1059.16666666666	344.833333333333	0	0.00124518866333931	0	0.0212046957914527	0.0536720757699968	*	0.429376606159974
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	L_region	0	3.55808087558071	0	6.55347309633461	383.834566335518	132.165433664482	0	0.0269214179299962	0	0.0495853788288652	0.395301130686293	*	0.395301130686293
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	VP0_region	0.238889550093138	6.22571575426534	0.861335289801908	25.452909517333	811.166666666666	292.833333333334	0.000294501191814019	0.0212602700771724	0.00106184749102352	0.0869194405828106	0.208524177489825	0.238873616687543	0.282971631158956
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	VP1_region	0	0.210299905231667	0	12.8805949272659	617.5	219.5	0	0.000958086128618071	0	0.0586815258645373	0.0161765386676046	*	0.210295002678859
temp_vcf4_AJ34_2_2_SI_MKV1_WG_A.vcf	VP3_region	0	2.65928670770249	0	15.8185465385465	491.4375	177.5625	0	0.0149766234858289	0	0.089087203314588	0.12902138794782	*	0.234584341723309
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	2A_region	0.498404386631525	3.45376116778058	0.469353007945516	3.47815971650738	248.5	84.5	0.00200565145525765	0.0408729132281725	0.00188874449877471	0.0411616534497915	0.493735048330399	0.498121523756025	0.493108408983881
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	2B_region	0.429799294121043	2.5474077902408	0.687576160407666	4.16631314839355	364.728991844776	130.271008155225	0.00117840726602825	0.0195546793282311	0.00188517001878559	0.0319818907321971	0.372140167184741	*	0.352973344179278
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	2C_region	0	7.95351223320189	0	18.5173936601473	757.240726959193	247.759273040806	0	0.0321017741761453	0	0.074739457510022	0.294539925671518	*	0.361480817869591
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	3A_region	0	5.13886002276259	0	5.97383793422041	212.856283835053	72.1437161649465	0	0.0712308749248972	0	0.0828046883606892	0.467147728612887	*	0.467147728612887
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	3B_region	0	0.497459588879087	0	0.464204163868368	61.8333333333333	19.1666666666667	0	0.0259544133328219	0	0.0242193476800888	0.497437316231275	*	0.497437316231275
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	3C_region	0	0	0	4	427.333333333334	142.666666666667	0	0	0	0.0280373831775701	0	*	*
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	3D_region	0	2.05487654511831	0	6.42133520684484	1059.16666666666	344.833333333333	0	0.00595904266346538	0	0.0186215617404877	0.256840319681751	*	0.410944511490802
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	L_region	0	3.0075472012742	0	6.43915460018363	383.450980392157	132.549019607843	0	0.0226900750391989	0	0.0485794208002019	0.334081570669915	*	0.334081570669915
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	VP0_region	0.447921118232347	9.47842370615024	0.661474398519432	20.0108883298902	811.166666666666	292.833333333334	0.000552193694143022	0.0323679807836661	0.000815460528275446	0.0683354183149354	0.320036016346949	0.447852037245575	0.338330873911066
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	VP1_region	0	5.59754243125181	0	6.21507304534907	617.5	219.5	0	0.0255013322608283	0	0.0283146835779001	0.430568419150615	*	0.430568419150615
temp_vcf4_AJ34_2_2_SI_MKV1_WG_B.vcf	VP3_region	0	8.14931501469271	0	11.7927385877551	491.858601133382	177.141398866619	0	0.0460045763826718	0	0.066572459420593	0.406941079924192	*	0.406941079924192
