file	product	N_diffs	S_diffs	N_diffs_vs_ref	S_diffs_vs_ref	N_sites	S_sites	piN	piS	mean_dN_vs_ref	mean_dS_vs_ref	mean_gdiv_polymorphic	mean_N_gdiv	mean_S_gdiv
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	2A_region	0.394244755841115	2.27116660920457	0.270011323055483	1.96567771222256	248.5	84.5	0.00158649801143306	0.0268777113515334	0.00108656468030375	0.0232624581328113	0.444197413603076	0.394210416954621	0.454194812932767
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	2B_region	0.447933895120509	11.1356463967628	0.338680744195582	8.30558236923126	364.612659247304	130.387340752696	0.00122851986556147	0.0854043523894214	0.000928878182383313	0.0636993002640061	0.429007934648072	*	0.427478309189885
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	2C_region	0	16.8921951463094	0	14.1171122142678	757.709374079506	247.290625920493	0	0.0683090799880965	0	0.0570871304228353	0.456533287339797	*	0.456533287339797
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	3A_region	0	8.59806948620436	0	7.81030910183367	212.258553613257	72.7414463867432	0	0.118200419613478	0	0.107370824884465	0.452514472097469	*	0.452514472097469
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	3B_region	0	0.420053203924202	0	0.300043610989969	61.8333333333333	19.1666666666667	0	0.0219158193351757	0	0.0156544492690419	0.420034884988139	*	0.420034884988139
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	3C_region	0	6.97907382118194	0	5.71571587331385	427.495031807234	142.504968192766	0	0.0489742491766418	0	0.0401088884535045	0.436180030646368	*	0.436180030646368
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	3D_region	0.272665709833333	11.3462363940858	0.162846109604798	12.2592782256305	1059.16666666666	344.833333333333	0.000257434187096774	0.032903537150563	0.000153749277360943	0.0355513143324229	0.38710359803929	0.272654508382761	0.436171285876766
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	L_region	0	5.71440721389822	0	4.20491997534847	383.486544066711	132.513455933289	0	0.043123222269405	0	0.0317320225763741	0.354361623664588	*	0.354361623664588
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	VP0_region	0.490087194651676	14.8420443173867	0.429533213644524	15.3466746228124	811.166666666666	292.833333333334	0.000604175707398821	0.0506842720001824	0.000529525227422878	0.0524075399754549	0.43796587308961	0.490068864041463	0.449658687699845
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	VP1_region	0.455538031389595	16.5245742048573	0.350885299227442	13.5006913278095	617.122450378241	219.877549621759	0.000738164737177185	0.0751535308324267	0.000568582943324103	0.0614009540811869	0.431190618961803	0.455529612027021	0.430550119144297
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_A.vcf	VP3_region	0	12.8295842742681	0	10.4774868098787	492.426943142784	176.573056857217	0	0.0726587878276503	0	0.0593379703357074	0.413820835304919	*	0.413820835304919
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	2A_region	0.396219615789109	2.2827865457571	0.272172653092351	1.97300332721093	248.5	84.5	0.0015944451339602	0.0270152253935751	0.0010952621854823	0.0233491518013128	0.446467805410743	0.396189400002044	0.456523486492483
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	2B_region	0.453715380445117	11.1149104510773	0.347993942722114	8.31117440839236	364.61560906016	130.38439093984	0.00124436631118076	0.0852472475497909	0.000954413179455235	0.0637436302649691	0.42845445456622	*	0.426409990699789
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	2C_region	0	16.9854428968184	0	14.3533199559962	757.723447099892	247.276552900108	0	0.0686900666383844	0	0.0580456164875224	0.459052700932804	*	0.459052700932804
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	3A_region	0	8.71296504710243	0	7.99207054484866	212.231079344002	72.7689206559976	0	0.119734702240417	0	0.109828075953329	0.458563299048627	*	0.458563299048627
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	3B_region	0	0.416890635566263	0	0.296131008660792	61.8333333333333	19.1666666666667	0	0.0217508157686746	0	0.0154503134953457	0.416874868740668	*	0.416874868740668
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	3C_region	0	6.93541949684809	0	5.78934723934048	427.495539243365	142.504460756635	0	0.0486680870200422	0	0.0406257264411349	0.433450057478809	*	0.433450057478809
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	3D_region	0.269738784037956	11.2554319356351	0.160681679853926	12.267944817292	1059.16666666666	344.833333333333	0.000254670763843861	0.032640208609865	0.000151705755959647	0.035576447029363	0.383959975245918	0.269726155226493	0.432656657775041
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	L_region	0	5.73616582026637	0	3.83101881078007	383.498124261267	132.501875738733	0	0.0432912046586944	0	0.0289129402087414	0.356421383033913	*	0.356421383033913
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	VP0_region	0.489483081030127	14.64107442998	0.427407100428236	15.0221064735646	811.166666666666	292.833333333334	0.000603430960793253	0.0499979775639611	0.000526904171475122	0.0512991683787066	0.432237673108968	0.489460541863527	0.443601758089405
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	VP1_region	0.459985321437468	16.2328875109565	0.358538311803221	13.9019679067285	617.117392576247	219.882607423753	0.000745377341444214	0.0738252456669884	0.000580988829866632	0.0632244999711912	0.425167831089995	0.459977181545034	0.424251795551704
temp_vcf4_AJ34_6_11_d0_FECES_MKV1_WG_B.vcf	VP3_region	0	13.2019655489539	0	10.9233277667691	492.474100279637	176.525899720363	0	0.0747876972719995	0	0.0618794623569279	0.425834850910214	*	0.425834850910214
